,text,annoations
0,"CERTIFICATS Certificat TOEIC Certificat CCNA 1,2,3,4 Certificat DELF","[(12, 28, 'DIPLOMA'), (29, 44, 'DIPLOMA'), (53, 68, 'DIPLOMA')]"
1,Badges et certifs - IBM Agile explorer - IBM Cognitive practitionner - IBM Security and privacy by designe - IBM Big Data foundation level 1,"[(20, 38, 'DIPLOMA'), (41, 68, 'DIPLOMA'), (71, 106, 'DIPLOMA'), (109, 140, 'DIPLOMA')]"
2,Certification de formation Talend Data Integration Certification SQL Fundamentals Course Certification Java Tutorial Course,"[(27, 64, 'DIPLOMA'), (65, 88, 'DIPLOMA'), (89, 123, 'DIPLOMA')]"
3,Autres diplômes et Projets Freelance 2018 Projet freelance Tao Express Avec Android. 2015 Certificat 98-364 MTA Database Fundamentals. 2016 Certificat 98-365 MTA Windows Server Administration Fundamentals.,"[(108, 133, 'DIPLOMA'), (158, 204, 'DIPLOMA'), (135, 139, 'DATE'), (37, 41, 'DATE'), (85, 89, 'DATE')]"
4,Certifications Machine Learning with Python - Level 1 01/2020 IBM Python for Data Science 01/2020 IBM,"[(15, 53, 'DIPLOMA'), (62, 89, 'DIPLOMA'), (98, 101, 'INSTITUT'), (54, 61, 'DATE'), (90, 97, 'DATE')]"
5,CERTIFICATION Février 2017 Certification INMAA de Lean Management.,"[(14, 26, 'DATE'), (27, 65, 'DIPLOMA')]"
6,"CERTIFICATIONS ITIL v4 Foundation CISCO CCNA, CCNA Voice, CCNP Voice Fortinet NSE4 Checkpoint formation CCSA et CCSE F5 formation GTM, LTM et ASM","[(15, 33, 'DIPLOMA'), (34, 44, 'DIPLOMA'), (46, 56, 'DIPLOMA'), (58, 68, 'DIPLOMA'), (69, 82, 'DIPLOMA'), (83, 116, 'DIPLOMA'), (117, 145, 'DIPLOMA')]"
7,"Certifications professionnelles ISTQB ITIL Foundation Certificate in IT Service Management SDP Certificate Network Browser and Studio Service Creation Fundamentals, Opencode. OCS 5.5 Online offline charging System certificate by Huawei UVC Universal Voucher Card certified by Huawei","[(32, 37, 'DIPLOMA'), (38, 90, 'DIPLOMA'), (91, 163, 'DIPLOMA'), (175, 225, 'DIPLOMA'), (236, 272, 'DIPLOMA'), (165, 173, 'INSTITUT'), (276, 282, 'INSTITUT'), (229, 235, 'INSTITUT')]"
8,Certifications Udemy Full stack web developer javascript - REACT JS / NODE JS Délivré le sept. 2018 LPI 202 Linux Certified Professional Institute LPI 202 Délivré le juin. 2015,"[(15, 20, 'INSTITUT'), (21, 77, 'DIPLOMA'), (89, 99, 'DATE'), (100, 123, 'DIPLOMA'), (124, 150, 'INSTITUT'), (166, 176, 'DATE')]"
9,Certifications Formations SAFe Formation en Leading SAFe 4.0. ITIL Certification ITIL V3 Foundation. Scrum Master Certification Professional Scrum Master I PSMI PMP Project Management Professional PMI . 1640865.,"[(26, 60, 'DIPLOMA'), (62, 80, 'DIPLOMA'), (81, 99, 'DIPLOMA'), (101, 127, 'DIPLOMA'), (128, 153, 'DIPLOMA'), (156, 160, 'DIPLOMA'), (161, 196, 'DIPLOMA'), (197, 200, 'DIPLOMA')]"
10,"CERTIFICATION ISTQB Fondation, Agile","[(14, 36, 'DIPLOMA')]"
11,CERTIFICATION 07/2020 Java SE 8 Programmer OCA Certification 08/2020 Java SE 8 Programmer OCP Certification,"[(14, 21, 'DATE'), (61, 68, 'DATE'), (22, 60, 'DIPLOMA'), (69, 107, 'DIPLOMA')]"
12,Formation complémentaire 2018 Johns Hopkins University Certificat - The Data Scientist s Toolbox. 2018 Emlyon business school Certificat Effectuation L entrepreneuriat pour tous. 2013 APMG-International -Certificat PRINCE2 Management de projets 2012 Participation aux formations - Sensibilisation et Mobilisation à la Qualité - ISO 9001 et Approche Processus 2010 English language Program at Amideast Business Upper Intermediate Certificate of Achievement,"[(25, 29, 'DATE'), (245, 249, 'DATE'), (179, 183, 'DATE'), (98, 102, 'DATE'), (359, 363, 'DATE'), (30, 54, 'INSTITUT'), (103, 125, 'INSTITUT'), (184, 202, 'INSTITUT'), (215, 244, 'DIPLOMA'), (68, 96, 'DIPLOMA'), (126, 177, 'DIPLOMA'), (364, 388, 'DIPLOMA'), (392, 428, 'INSTITUT')]"
13,CERTIFICATIONS 2018 Digital Marketing Certificate Associate Simplilearn 2018 Professional Scrum Master I Scrum.org,"[(15, 19, 'DATE'), (72, 76, 'DATE'), (20, 59, 'DIPLOMA'), (77, 102, 'DIPLOMA'), (60, 71, 'INSTITUT'), (105, 114, 'INSTITUT')]"
14,CERTIFICATIONS 2018 ISTQB Niveau fondation 2019 PSM I - Professional Scrum Master,"[(15, 19, 'DATE'), (43, 47, 'DATE'), (20, 42, 'DIPLOMA'), (48, 81, 'DIPLOMA')]"
15,DIPLOMES CERTIFICATIONS DIPLOMES 2016 Ingénieur en systèmes de Télécommunications et Réseaux. Ecole Nationale des sciences appliquées.,"[(33, 37, 'DATE'), (38, 92, 'DIPLOMA'), (94, 133, 'INSTITUT')]"
