,text,annoations
0,2005 2007 Diplôme technicien Infographiste Animateur multimédia à l'institut IBEGIS Ibegis Ecole de Commerce et de Gestion.,"[(0, 9, 'DATE'), (10, 63, 'DIPLOMA'), (66, 122, 'INSTITUT')]"
1,"FORMATION 2015 2018 Diplôme Ingénieure MIAGE Casablanca, Maroc EMSI Français 2013 2015 Technicienne spécialisée en développement Anglais informatique Casablanca, Maroc ISGI 2013 Baccalauréat Sciences physiques Casablanca, Maroc GS Charif al Idrissi","[(39, 44, 'INSTITUT'), (45, 62, 'LOC'), (63, 67, 'INSTITUT'), (150, 167, 'LOC'), (168, 172, 'INSTITUT'), (210, 227, 'LOC'), (10, 19, 'DATE'), (173, 177, 'DATE'), (77, 86, 'DATE'), (20, 38, 'DIPLOMA'), (87, 128, 'DIPLOMA'), (178, 209, 'DIPLOMA'), (228, 248, 'INSTITUT')]"
2,"Formations 2007-2010 Cycle Ingénieur d'Etat Génie Electrique, filière Electronique et Télécoms, à l'EMI-Rabat. 2005-2007 Classes préparatoires aux grandes écoles MPSI MP au lycée Ibnou Taymiya à Marrakech. 2005 Baccalauréat Sciences Mathématiques A au lycée Ibnou Toumert à Marrakech.","[(195, 204, 'LOC'), (21, 94, 'DIPLOMA'), (121, 169, 'DIPLOMA'), (211, 248, 'DIPLOMA'), (173, 192, 'INSTITUT'), (98, 103, 'INSTITUT'), (252, 271, 'INSTITUT'), (274, 283, 'LOC'), (104, 109, 'LOC'), (206, 210, 'DATE'), (11, 20, 'DATE'), (111, 120, 'DATE')]"
3,FORMATION 2014-2017 Cycle d'ingénieur à l'ENSA Khouribga - Génie informatique - Option génie logicielle 2012-2014 Classes préparatoires intégrées à ENSA Khouribga Juin 2012 Baccalauréat sciences Physique Lycée Ibn Tofail - Oued Zem.,"[(104, 113, 'DATE'), (10, 19, 'DATE'), (40, 46, 'INSTITUT'), (148, 152, 'INSTITUT'), (204, 220, 'INSTITUT'), (223, 231, 'LOC'), (47, 56, 'LOC'), (153, 162, 'LOC'), (20, 37, 'DIPLOMA'), (59, 103, 'DIPLOMA'), (114, 145, 'DIPLOMA'), (173, 203, 'DIPLOMA'), (163, 172, 'DATE')]"
4,"Formations Master Spécialisé en Management des Systèmes d'Information 2014 - 2016 Université Abdelmalek Essaadi , Tétouan.","[(82, 111, 'INSTITUT'), (114, 121, 'LOC'), (70, 81, 'DATE'), (11, 69, 'DIPLOMA')]"
5,CURSUS ACADÉMIQUE 2013 LICENCE UNIVERSITAIRE PROFESSIONNELLE EN INGÉNIERIE DE CONCEPTION ET DE DÉVELOPPEMENT D'APPLICATIONS FST - Faculté des Sciences et Techniques - Settat,"[(18, 22, 'DATE'), (130, 164, 'INSTITUT'), (167, 173, 'LOC'), (23, 123, 'DIPLOMA'), (124, 127, 'INSTITUT')]"
6,"Formation 2017 -2018 ÉCOLE SUPÉRIEURE DE TECHNOLOGIED AGADIR Diplôme de Licence Professionnelle Option Développement et Ingénierie des Applications Informatique Mention Bien 2015 -2017 ÉCOLE SUPÉRIEURE DE TECHNOLOGIED AGADIR Diplôme Universitaire de Technologie Option Génie Informatique Mention Assez Bien 2014 -2015 UNIVERSITE IBN ZOHR AGADIR Première année a la Faculté desSciences Option Science MathInformatique 2013 -2014 LYCÉE EL JOULAN, CHTOUKA AITBAHA Baccalauréat Baccalauréat en SciencesPhysiques Mention Bien","[(10, 20, 'DATE'), (417, 427, 'DATE'), (174, 184, 'DATE'), (307, 317, 'DATE'), (21, 53, 'INSTITUT'), (185, 217, 'INSTITUT'), (318, 337, 'INSTITUT'), (428, 443, 'INSTITUT'), (54, 60, 'LOC'), (218, 224, 'LOC'), (338, 344, 'LOC'), (445, 460, 'LOC'), (61, 160, 'DIPLOMA'), (225, 287, 'DIPLOMA'), (345, 359, 'DIPLOMA'), (474, 507, 'DIPLOMA'), (461, 473, 'DIPLOMA'), (365, 384, 'INSTITUT'), (385, 416, 'DIPLOMA')]"
7,"Diplômes et Formations Master spécialisé Université Hassan II - Faculté des Sciences Ain Chock Casablanca De 2014 à 2016 Électronique, Électrotechnique, Automatique et Informatique Industrielle Licence technique Université Hassan I - Faculté des Sciences et Techniques Settat De 2011 à 2014","[(95, 105, 'LOC'), (41, 94, 'INSTITUT'), (109, 120, 'DATE'), (279, 290, 'DATE'), (23, 40, 'DIPLOMA'), (121, 193, 'DIPLOMA'), (194, 211, 'DIPLOMA'), (212, 268, 'INSTITUT'), (269, 275, 'LOC')]"
8,FORMATION 2016 - 2017 Bac+ 5 en gestion opérationnelle et stratégies des entreprises Institut Supérieure de Management d'Administration et de Génie informatique - ISMAG à Rabat Mars 2016 - juin 2016 formation certifiante d'agent commercial 400 H Leonard de Vinci en partenariat avec l'ANAPEC à Rabat 2012 - 2015 Bac+ 3 en management et administration des entreprises Institut Supérieure de Management d'Administration et de Génie informatique - ISMAG à Rabat 2012 Baccalauréat en sciences expérimentales SVT Institut de Rabat,"[(171, 176, 'LOC'), (10, 21, 'DATE'), (177, 198, 'DATE'), (300, 311, 'DATE'), (459, 463, 'DATE'), (85, 168, 'INSTITUT'), (22, 84, 'DIPLOMA'), (199, 239, 'DIPLOMA'), (246, 291, 'INSTITUT'), (294, 299, 'LOC'), (312, 366, 'DIPLOMA'), (367, 450, 'INSTITUT'), (453, 458, 'LOC'), (464, 507, 'DIPLOMA'), (508, 525, 'INSTITUT')]"
9,FORMATION Cycle d'Ingénieur en Génie Industriel Ecole Nationale des Sciences Appliquées de Safi r 2011 - 2014 DEUG en Sciences de la Matière Physique Faculté des sciences Rabat r 2009 - 2011,"[(48, 87, 'INSTITUT'), (91, 95, 'LOC'), (171, 176, 'LOC'), (179, 190, 'DATE'), (98, 109, 'DATE'), (10, 47, 'DIPLOMA'), (110, 149, 'DIPLOMA'), (150, 170, 'INSTITUT')]"
10,FORMATION 2018 Bac+4 ESGCI Paris Management Marketing et développement Commercial 2017 Bac+3 ESGCI Paris Bachelor Marketing Commerce 2015-2016 Bac+2 ICG Technicien Spécialisé en commerce et Gestion,"[(21, 32, 'INSTITUT'), (93, 104, 'INSTITUT'), (10, 14, 'DATE'), (133, 142, 'DATE'), (82, 86, 'DATE'), (33, 81, 'DIPLOMA'), (15, 20, 'DIPLOMA'), (87, 92, 'DIPLOMA'), (105, 132, 'DIPLOMA'), (143, 148, 'DIPLOMA'), (153, 197, 'DIPLOMA'), (149, 152, 'INSTITUT')]"
11,"EDUCATION 2015-2018 Diplôme Ingénieur d'état Génie Electrique et Télécommunication, Option Génie des Systèmes Electronique et Télécommunication Faculté des Sciences et Techniques Mohammedia 2013-2015 DEUST Génie Electrique-Génie Mécanique Faculté des Sciences et Techniques Settat 2012-2013 Baccalauréat Science et Technologie Electrique Lycée KHAWRIZMI","[(144, 178, 'INSTITUT'), (179, 189, 'LOC'), (239, 273, 'INSTITUT'), (274, 280, 'LOC'), (10, 19, 'DATE'), (281, 290, 'DATE'), (190, 199, 'DATE'), (20, 143, 'DIPLOMA'), (200, 238, 'DIPLOMA'), (291, 337, 'DIPLOMA'), (338, 353, 'INSTITUT')]"
12,FORMATION Diplôme d'Ingénieur 2013-2016 Filière Génie Informatique Option Architecture Logicielle à l'université privée de Fès Master Administration des Entreprises MAE 2014-2016 Université de Picardie Diplôme Universitaire de Technologie DUT 2011-2013 Filière Statistique et Informatique Décisionnelle à l'école supérieur de technologie de Fès,"[(40, 66, 'INSTITUT'), (123, 126, 'LOC'), (179, 201, 'INSTITUT'), (30, 39, 'DATE'), (169, 178, 'DATE'), (243, 252, 'DATE'), (10, 29, 'DIPLOMA'), (67, 97, 'DIPLOMA'), (127, 168, 'DIPLOMA'), (202, 242, 'DIPLOMA'), (253, 302, 'DIPLOMA'), (305, 337, 'INSTITUT'), (100, 119, 'INSTITUT'), (341, 344, 'LOC')]"
