,text,annoations
0,"Télécoms GSM, UMTS, LTE. Télécommunications satellitaires, Télévision numérique, Fibre optique , faisceaux hertziens, Testing HP ALM/QC, SoapUI, Jira, Selenium 3. Routage et switching TCP/IP, Routage statique, RIP, OSPF, BGP, EIGRP, VLAN Sécurité Cryptographie, Firewall, SOC, SIEM, IAM, VPN IPsec, IDS/IPS. Administration des réseaux DNS, DHCP, FTP, Protocoles POP/SMTP, Windows 2008 AD, DNS, IIS, FTP, SSL Conception et Programmation C, C++, Java, J2me, PHP, Html, CSS , JavaScript, Assembleur, Merise, UML Outils Vmware, VirtualBox, Cisco Packet Tracer, Matlab, ATOLL, Radio Mobile , Seamcat, Pack Office, Netbeans, Eclipse Management Gestion de projet, Etude du marché, Marketing","[(14, 18, 'SKILL'), (20, 23, 'SKILL'), (126, 132, 'SKILL'), (137, 143, 'SKILL'), (145, 149, 'SKILL'), (151, 159, 'SKILL'), (184, 190, 'SKILL'), (210, 213, 'SKILL'), (215, 219, 'SKILL'), (221, 224, 'SKILL'), (226, 231, 'SKILL'), (233, 237, 'SKILL'), (262, 270, 'SKILL'), (272, 275, 'SKILL'), (277, 281, 'SKILL'), (283, 286, 'SKILL'), (288, 291, 'SKILL'), (292, 297, 'SKILL'), (299, 306, 'SKILL'), (335, 338, 'SKILL'), (340, 344, 'SKILL'), (346, 349, 'SKILL'), (362, 365, 'SKILL'), (372, 379, 'SKILL'), (389, 392, 'SKILL'), (394, 397, 'SKILL'), (399, 402, 'SKILL'), (404, 407, 'SKILL'), (436, 437, 'SKILL'), (439, 442, 'SKILL'), (444, 448, 'SKILL'), (450, 454, 'SKILL'), (456, 459, 'SKILL'), (461, 465, 'SKILL'), (467, 470, 'SKILL'), (473, 483, 'SKILL'), (485, 495, 'SKILL'), (497, 503, 'SKILL'), (505, 508, 'SKILL'), (557, 563, 'SKILL'), (565, 570, 'SKILL'), (596, 600, 'SKILL'), (601, 607, 'SKILL'), (609, 617, 'SKILL'), (619, 626, 'SKILL'), (133, 135, 'SKILL'), (366, 370, 'SKILL'), (238, 246, 'SKILL'), (247, 260, 'SKILL'), (192, 208, 'SKILL'), (163, 170, 'SKILL'), (174, 183, 'SKILL'), (308, 334, 'SKILL'), (408, 418, 'SKILL'), (516, 522, 'SKILL'), (524, 534, 'SKILL'), (536, 555, 'SKILL'), (572, 584, 'SKILL'), (587, 594, 'SKILL'), (627, 637, 'SKILL'), (638, 655, 'SKILL'), (657, 672, 'SKILL'), (674, 683, 'SKILL'), (25, 57, 'SKILL'), (59, 79, 'SKILL'), (81, 94, 'SKILL'), (97, 116, 'SKILL'), (0, 13, 'SKILL')]"
1,"COMPETENCES Algorithmiques Technologies JAVAJEE, SELENIUM WEB DRIVER, ROBOT, GITLAB, HPALM, ZEPHYR, JENKINS SGBD MySQL, ORACLE, SQL. Conception Modélisation Orienté Object UML. Outils Eclipse IDE, SOURCETREE Gestion gestion de projet. Framework ROBOT FRAMEWORK, SERENITY Design Pattern Page Object, SINGLOTEN","[(70, 75, 'SKILL'), (77, 83, 'SKILL'), (85, 90, 'SKILL'), (92, 98, 'SKILL'), (100, 107, 'SKILL'), (113, 118, 'SKILL'), (120, 126, 'SKILL'), (128, 131, 'SKILL'), (157, 164, 'SKILL'), (165, 171, 'SKILL'), (172, 175, 'SKILL'), (245, 260, 'SKILL'), (286, 290, 'SKILL'), (291, 297, 'SKILL'), (299, 308, 'SKILL'), (40, 47, 'SKILL'), (49, 57, 'SKILL'), (58, 68, 'SKILL'), (184, 195, 'SKILL'), (197, 207, 'SKILL'), (108, 112, 'SKILL'), (216, 233, 'SKILL'), (262, 270, 'SKILL'), (271, 285, 'SKILL'), (133, 143, 'SKILL'), (144, 156, 'SKILL')]"
2,"COMPÉTENCES JavaScript JQuery, BackboneJS, React js, vue js, Angular, redux, vuex DevOps GIT / GitHub, Git Flow, docker, jenkins, GitLab Base de Doneness SQL Server, MySQL, mongoDB Développement Web HTML5, CSS3, JavaScript, Sass, JQuery, BackboneJS, React js, vue js, Angular, Bootstrap 3/4, ant design, node js, express js Integration d'API, Rest API, Web service, Git, Docker Développement Mobile react native CMS WordPress, Drupal Outies PhpMyAdmin, PHP Storm, FileZilla, WampServer, xampp, Visual studio, visual code, Eclipse, Photoshop, zeppelin, git, github, jira, slack","[(12, 22, 'SKILL'), (23, 29, 'SKILL'), (31, 41, 'SKILL'), (43, 51, 'SKILL'), (61, 68, 'SKILL'), (70, 75, 'SKILL'), (82, 88, 'SKILL'), (89, 101, 'SKILL'), (113, 119, 'SKILL'), (121, 128, 'SKILL'), (130, 136, 'SKILL'), (154, 164, 'SKILL'), (166, 171, 'SKILL'), (173, 180, 'SKILL'), (199, 204, 'SKILL'), (206, 210, 'SKILL'), (212, 222, 'SKILL'), (224, 228, 'SKILL'), (230, 236, 'SKILL'), (238, 248, 'SKILL'), (250, 258, 'SKILL'), (268, 275, 'SKILL'), (277, 286, 'SKILL'), (343, 351, 'SKILL'), (353, 364, 'SKILL'), (366, 369, 'SKILL'), (371, 377, 'SKILL'), (412, 415, 'SKILL'), (416, 425, 'SKILL'), (427, 433, 'SKILL'), (453, 456, 'SKILL'), (457, 462, 'SKILL'), (464, 473, 'SKILL'), (487, 492, 'SKILL'), (494, 507, 'SKILL'), (509, 520, 'SKILL'), (522, 529, 'SKILL'), (531, 540, 'SKILL'), (53, 59, 'SKILL'), (77, 81, 'SKILL'), (103, 111, 'SKILL'), (260, 266, 'SKILL'), (292, 302, 'SKILL'), (304, 311, 'SKILL'), (313, 323, 'SKILL'), (378, 398, 'SKILL'), (399, 411, 'SKILL'), (441, 451, 'SKILL'), (542, 550, 'SKILL'), (552, 555, 'SKILL'), (557, 563, 'SKILL'), (565, 569, 'SKILL'), (571, 576, 'SKILL'), (475, 485, 'SKILL')]"
3,Compétences Laravel 5 Framework NodeJs Angular 6 Framework MongoDb Express React native Framework FireBase PHP Jquery Mysql AngularJs HTML5 MVC CSS3 Echarts Bootstrap 4 JavaScript SEO,"[(12, 19, 'SKILL'), (32, 38, 'SKILL'), (39, 46, 'SKILL'), (59, 66, 'SKILL'), (67, 74, 'SKILL'), (75, 87, 'SKILL'), (98, 106, 'SKILL'), (107, 110, 'SKILL'), (111, 117, 'SKILL'), (118, 123, 'SKILL'), (124, 133, 'SKILL'), (134, 139, 'SKILL'), (140, 143, 'SKILL'), (144, 148, 'SKILL'), (149, 156, 'SKILL'), (157, 166, 'SKILL'), (169, 179, 'SKILL'), (180, 183, 'SKILL')]"
4,"COMPETENCES Langage de programmation PHP5 POO , JAVA, C, C .net, ASP.Net. Méthode d analyse MERISE, UML. Framework Android, Symfony2, CodeIgniter. SGBD SQL-Server, MySQL, SQLite, PostgreSQL. Langage script HTML5, CSS3, XML, JavaScript JQuery , AngularJS, NodeJS. CMS WordPress. Bureautique La suite Microsoft Office. Système d exploitation Windows, Linux.","[(37, 41, 'SKILL'), (42, 45, 'SKILL'), (48, 52, 'SKILL'), (54, 55, 'SKILL'), (57, 58, 'SKILL'), (59, 63, 'SKILL'), (65, 72, 'SKILL'), (92, 98, 'SKILL'), (100, 103, 'SKILL'), (115, 122, 'SKILL'), (124, 132, 'SKILL'), (134, 145, 'SKILL'), (152, 162, 'SKILL'), (164, 169, 'SKILL'), (171, 177, 'SKILL'), (179, 189, 'SKILL'), (206, 211, 'SKILL'), (213, 217, 'SKILL'), (219, 222, 'SKILL'), (224, 234, 'SKILL'), (235, 241, 'SKILL'), (244, 253, 'SKILL'), (255, 261, 'SKILL'), (263, 276, 'SKILL'), (299, 315, 'SKILL'), (340, 347, 'SKILL'), (349, 354, 'SKILL'), (147, 151, 'SKILL')]"
5,"SKILLS Systèmes d exploitation Windows, Linux. Conception Merise, UML 2.0. Langages de développement JAVA, SQL / PLSQL Front end JSP, thymeleaf, HTML5, CSS3, Angular 4+ Back end JSF, JPA, Hibernate, Docker, Microservices Rest API, SOAP , Spring mvc/boot/data/security SGBD Oracle BD, MySQL, Postgresql. IDE Netbeans, Eclipse, intellij IDEA Référentiels PMBOOk , ITIL , ISO 27001 Gestion de projet Jira Software Versionning Git , SVN","[(31, 38, 'SKILL'), (40, 45, 'SKILL'), (58, 64, 'SKILL'), (66, 69, 'SKILL'), (101, 105, 'SKILL'), (107, 110, 'SKILL'), (113, 118, 'SKILL'), (145, 150, 'SKILL'), (152, 156, 'SKILL'), (158, 165, 'SKILL'), (169, 181, 'SKILL'), (183, 186, 'SKILL'), (188, 197, 'SKILL'), (199, 205, 'SKILL'), (207, 220, 'SKILL'), (221, 229, 'SKILL'), (231, 235, 'SKILL'), (273, 282, 'SKILL'), (284, 289, 'SKILL'), (291, 301, 'SKILL'), (307, 315, 'SKILL'), (317, 324, 'SKILL'), (369, 378, 'SKILL'), (423, 426, 'SKILL'), (429, 432, 'SKILL'), (47, 57, 'SKILL'), (119, 128, 'SKILL'), (129, 132, 'SKILL'), (134, 143, 'SKILL'), (268, 272, 'SKILL'), (353, 359, 'SKILL'), (362, 366, 'SKILL'), (379, 396, 'SKILL'), (397, 410, 'SKILL'), (326, 339, 'SKILL'), (238, 267, 'SKILL')]"
6,"DOMAINES DE COMPETENCES Langages de programmation Java, C++ Environnements Windows, Linux Ubunto . Technologies web XHTML/CSS, JavaScript, PHP, Html, Ajax, JQuery. Technologie JEE Hibernate, JSF, JSP, Servlet, Spring MVC, Spring IOC. Méthodologie agile Scrum. Modélisation et Conception UML, Merise Base de données Oracle Administration 10g,12c , SQL Server 2014, MySQL. Moteur de workflows IBM Lotus notes. Techniques décisionnelles ETL, Olap, Datamining, Reporting. Web services REST, SOAP.","[(50, 54, 'SKILL'), (56, 59, 'SKILL'), (75, 82, 'SKILL'), (84, 89, 'SKILL'), (127, 137, 'SKILL'), (139, 142, 'SKILL'), (144, 148, 'SKILL'), (150, 154, 'SKILL'), (156, 162, 'SKILL'), (176, 179, 'SKILL'), (180, 189, 'SKILL'), (191, 194, 'SKILL'), (196, 199, 'SKILL'), (201, 208, 'SKILL'), (210, 220, 'SKILL'), (222, 232, 'SKILL'), (253, 258, 'SKILL'), (287, 290, 'SKILL'), (292, 298, 'SKILL'), (347, 357, 'SKILL'), (364, 369, 'SKILL'), (439, 443, 'SKILL'), (445, 455, 'SKILL'), (457, 466, 'SKILL'), (468, 480, 'SKILL'), (481, 485, 'SKILL'), (487, 491, 'SKILL'), (116, 121, 'SKILL'), (122, 125, 'SKILL'), (90, 96, 'SKILL'), (260, 272, 'SKILL'), (276, 286, 'SKILL'), (299, 314, 'SKILL'), (315, 336, 'SKILL'), (391, 406, 'SKILL'), (434, 437, 'SKILL'), (371, 390, 'SKILL')]"
7,"Javascript , python D3.js CONNAISSANCES ACADÉMIQUES ET COMPÉTENCES LANGAGES DE PROGRAMMATION ANALYSE, MÉTHODOLOGIE, MODÉLISATION ET CONCEPTION C, Python , Java, PHP, Sql, Javascript MERISE, UML, Agile SCRUM , FRAMEWORKS ET OUTILS Design Patterns Laravel, Node.js , Angular , DATABASES Vue.js , Angular JS , Meteor , Ionic , MySql, Oracle , SQL Server, Spring , PrimeFaces , Hibernate , Mongodb , Postgresql , Symfony, , Android , ELK ElasticSearch , Administration Bd Oracle et Kibana ,.. , Scrapy , Selenium, Tensorflow SQL Server , CouchDb , OpenCV , Scikit-learn","[(0, 10, 'SKILL'), (13, 19, 'SKILL'), (20, 25, 'SKILL'), (143, 144, 'SKILL'), (146, 152, 'SKILL'), (155, 159, 'SKILL'), (161, 164, 'SKILL'), (166, 169, 'SKILL'), (171, 181, 'SKILL'), (182, 188, 'SKILL'), (190, 193, 'SKILL'), (195, 200, 'SKILL'), (201, 206, 'SKILL'), (246, 253, 'SKILL'), (255, 262, 'SKILL'), (265, 272, 'SKILL'), (275, 284, 'SKILL'), (285, 291, 'SKILL'), (294, 304, 'SKILL'), (307, 313, 'SKILL'), (316, 321, 'SKILL'), (324, 329, 'SKILL'), (331, 337, 'SKILL'), (340, 350, 'SKILL'), (352, 358, 'SKILL'), (361, 371, 'SKILL'), (374, 383, 'SKILL'), (386, 393, 'SKILL'), (396, 406, 'SKILL'), (409, 416, 'SKILL'), (420, 427, 'SKILL'), (430, 433, 'SKILL'), (434, 447, 'SKILL'), (468, 474, 'SKILL'), (478, 484, 'SKILL'), (491, 497, 'SKILL'), (500, 508, 'SKILL'), (510, 520, 'SKILL'), (521, 531, 'SKILL'), (534, 541, 'SKILL'), (544, 550, 'SKILL'), (553, 565, 'SKILL'), (116, 128, 'SKILL'), (132, 142, 'SKILL'), (230, 245, 'SKILL'), (450, 467, 'SKILL')]"
8,COMPÉTENCES JAVA J2EE Selenium Andoid C TestNG C++ Python AppLoader CAST MySQL Postgres SQL Server SQLite ArcGIS Server Tomcat GlassFish Appium UML Merise QGIS ArcGIS,"[(12, 16, 'SKILL'), (17, 21, 'SKILL'), (40, 46, 'SKILL'), (47, 50, 'SKILL'), (51, 57, 'SKILL'), (58, 67, 'SKILL'), (68, 72, 'SKILL'), (73, 78, 'SKILL'), (79, 87, 'SKILL'), (88, 98, 'SKILL'), (99, 105, 'SKILL'), (106, 119, 'SKILL'), (120, 126, 'SKILL'), (127, 136, 'SKILL'), (137, 143, 'SKILL'), (144, 147, 'SKILL'), (148, 154, 'SKILL'), (160, 166, 'SKILL'), (22, 30, 'SKILL'), (31, 37, 'SKILL'), (38, 39, 'SKILL'), (155, 159, 'SKILL')]"
9,"Angular 6 Redis chat et RealTime MQTT message dispacher Docker Container for MongoDB GitLab versioning Technologies utilisés NodeJS, ExpressJs, Angular6, Docker, GitLab, MQTT, Redis. Contrôle dans un cabinet de Topographie Profiling Upload/Downlaod des fichiers Contrôle et vérification des erreurs suivant un modèle Métier Reporting, Graphe et export en différents formats Identification centralisé avec Open Ldap Nodejs en backend ES6 Angular 4 en frontEnd ES6 Stratégies Micro-Services Technologies utilisés NodeJs, ExpressJs, Angular4, D3, Github. Application realtime pour le compte d'une société pharmaceutique ServerLess Ionic Angularjs Github. Application de Géolocalisation Gestion des véhicules Gestion des devices Gestion des événements Survitesse Geofence - POI Suivi des véhicules en temps réel Tracking par GPS Implémentation de plus de 30 protocol de communication TK103 - gl200 xexun meitrack skypatrol teltonika et autres Implémentation de 7 cartes et providers Gestion des session avec spring sécurity Implémentation d'une stratégie Micro-Services Implémentation des websocket with sockjs pour les push notification Intégration avec rapport avec D3 Technologies utilisés Maven, Spring Boot framework, Java 8, Github, AngularJS, D3, Sockjs, Googlemap, OpenStreetMap.","[(0, 7, 'SKILL'), (77, 84, 'SKILL'), (85, 91, 'SKILL'), (125, 131, 'SKILL'), (133, 142, 'SKILL'), (144, 152, 'SKILL'), (154, 160, 'SKILL'), (162, 168, 'SKILL'), (170, 174, 'SKILL'), (176, 181, 'SKILL'), (437, 444, 'SKILL'), (459, 473, 'SKILL'), (511, 517, 'SKILL'), (519, 528, 'SKILL'), (530, 538, 'SKILL'), (540, 542, 'SKILL'), (544, 550, 'SKILL'), (628, 633, 'SKILL'), (644, 650, 'SKILL'), (1189, 1194, 'SKILL'), (1196, 1207, 'SKILL'), (1219, 1223, 'SKILL'), (1227, 1233, 'SKILL'), (1235, 1244, 'SKILL'), (1246, 1248, 'SKILL'), (10, 15, 'SKILL'), (24, 37, 'SKILL'), (38, 55, 'SKILL'), (56, 72, 'SKILL'), (92, 102, 'SKILL'), (634, 643, 'SKILL'), (617, 627, 'SKILL'), (602, 616, 'SKILL'), (405, 414, 'SKILL'), (415, 421, 'SKILL'), (425, 432, 'SKILL'), (433, 436, 'SKILL'), (450, 458, 'SKILL'), (1250, 1256, 'SKILL'), (1258, 1267, 'SKILL'), (1269, 1282, 'SKILL'), (1164, 1166, 'SKILL'), (880, 885, 'SKILL'), (888, 893, 'SKILL')]"
