,text,annoations
0,Atouts Compétences managériales et communicationnelles Dynamisme et Teamwork,"[(7, 31, 'SKILL'), (35, 54, 'SKILL'), (55, 64, 'SKILL'), (68, 76, 'SKILL')]"
1,SKILLS AND ABILITIES Good communication skills Reliable and professional Organized Good time management skills Team player Dedicated Fast learner Motivated Hard worker,"[(21, 39, 'SKILL'), (47, 55, 'SKILL'), (111, 122, 'SKILL'), (133, 145, 'SKILL'), (156, 167, 'SKILL'), (60, 82, 'SKILL'), (83, 103, 'SKILL'), (123, 132, 'SKILL'), (146, 155, 'SKILL')]"
2,"Sérieux, sociable, travailleur, disponible, dynamique, ayant un fort désir d apprendre.","[(0, 7, 'SKILL'), (9, 17, 'SKILL'), (19, 30, 'SKILL'), (32, 42, 'SKILL'), (44, 53, 'SKILL'), (61, 86, 'SKILL')]"
3,Personal skills 3 Interests 2 Two years experience in ICT. Adaptability and Innovation. Ability to speak with passion and confidence in public speaking. Sport Men physique. Innovation Interested by the robots that interacts with its surroundings.,"[(59, 71, 'SKILL'), (76, 86, 'SKILL'), (88, 132, 'SKILL'), (136, 151, 'SKILL'), (173, 183, 'SKILL')]"
4,COMPETENCES Prise d'initiatives et résolution de problèmes. Facilité d'adaptation et d'apprentissage. Aptitude à travailler en équipe.,"[(12, 31, 'SKILL'), (35, 58, 'SKILL'), (60, 100, 'SKILL'), (102, 133, 'SKILL')]"
5,QUALITÉS Sérieux Relationnel Communication,"[(9, 16, 'SKILL'), (17, 28, 'SKILL'), (29, 42, 'SKILL')]"
6,"Polyvalente, dynamique avec forte capacité de travail .","[(0, 11, 'SKILL'), (13, 22, 'SKILL'), (28, 53, 'SKILL')]"
7,Atouts personnels Travail en groupe et travail professionnelle Sens de responsabilité et ècoute active Esprit de responsabilitè et d èquipe Sens de crèativitè Dynamique Sérieux,"[(18, 35, 'SKILL'), (39, 62, 'SKILL'), (63, 85, 'SKILL'), (89, 102, 'SKILL'), (103, 139, 'SKILL'), (140, 158, 'SKILL'), (159, 168, 'SKILL'), (169, 176, 'SKILL')]"
8,QUALITÉS CRÉATIVITÉ PASSION INITIATIVE MOTIVATION,"[(9, 19, 'SKILL'), (39, 49, 'SKILL'), (20, 27, 'SKILL'), (28, 38, 'SKILL')]"
9,Atouts - Facilité de communication. - Capacité d adaptation. - Esprit d initiative. - Esprit travail en équipe. - Sens de responsabilité. - Sociabilité.,"[(9, 34, 'SKILL'), (38, 59, 'SKILL'), (63, 82, 'SKILL'), (114, 136, 'SKILL'), (140, 151, 'SKILL'), (86, 110, 'SKILL')]"
